date,exercise_name,raw_exercise_name,top_weight_kg,top_reps,notes,source_row,import_status
2022-06-26,Preacher Curls,Scott curls,15,10,,45,ok
2022-06-26,Bizepsmaschine,bizepsmaschine,25,10,,46,ok
2022-06-26,Schulterdrücken,schulterdrücken,12,12,,47,ok
2022-06-26,Schrägbank Kurzhantel,schrägbank kurzhantel,18,12,,48,ok
2022-06-26,Brustpresse,decline chest press,70,12,,49,ok
2022-06-27,Kniebeuge,squats,80,8,,50,low_exercise_count
2022-06-27,Wadenpresse,wadenpresse,45,12,,51,low_exercise_count
2022-06-27,Beinpresse,beinpresse,225,8,,52,low_exercise_count
2022-06-27,Beinstrecker,leg extension,72.5,10,Fehlende Gewicht/Reps aus letztem vollständigem Beinstrecker-Eintrag vom 2022-06-22 übernommen,53,low_exercise_count;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-06-27,Beinbeuger,leg curls,85,8,Fehlende Gewicht/Reps aus letztem vollständigem Beinbeuger-Eintrag vom 2022-06-22 übernommen,54,low_exercise_count;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-06-28,Bankdrücken,bankdrücken,70,10,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Schrägbankdrücken,schrägbankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Preacher Curls,Scott curls,15,10,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Bizepsmaschine,bizepsmaschine,25,10,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Schulterdrücken,schulterdrücken,12,12,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Schrägbank Kurzhantel,schrägbank kurzhantel,18,12,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Brustpresse,decline chest press,70,12,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-07-01,Bankdrücken,bankdrücken,70,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,60,ok;actual_entry_in_incomplete_workout
2022-07-01,Schrägbankdrücken,schrägbankdrücken,50,8,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,61,ok;actual_entry_in_incomplete_workout
2022-07-01,Preacher Curls,Scott curls,15,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus letztem vollständigem Preacher Curls-Eintrag vom 2022-06-28 übernommen,62,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-07-01,Bizepsmaschine,bizepsmaschine,25,10,Aus vorherigem vollständigem Workout vom 2022-06-28 übernommen,copied_from_2022-06-28,filled_from_previous_workout
2022-07-01,Schulterdrücken,schulterdrücken,12,12,Aus vorherigem vollständigem Workout vom 2022-06-28 übernommen,copied_from_2022-06-28,filled_from_previous_workout
2022-07-01,Schrägbank Kurzhantel,schrägbank kurzhantel,18,12,Aus vorherigem vollständigem Workout vom 2022-06-28 übernommen,copied_from_2022-06-28,filled_from_previous_workout
2022-07-01,Brustpresse,decline chest press,70,12,Aus vorherigem vollständigem Workout vom 2022-06-28 übernommen,copied_from_2022-06-28,filled_from_previous_workout
2022-07-03,Kniebeuge,squats,50,15,,63,ok
2022-07-03,Beinpresse,Beinpresse,200,8,,64,ok
2022-07-03,Wadenpresse,wadenpresse,45,12,,65,ok
2022-07-03,Beinbeuger,leg curls,87.5,10,,66,ok
2022-07-03,Beinstrecker,leg extension,80,12,,67,ok
2022-07-03,Bauchmaschine,Bauchmaschine,12,15,,68,ok
2022-07-04,Kniebeuge,squats,50,15,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Beinpresse,Beinpresse,200,8,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Wadenpresse,wadenpresse,45,12,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Beinbeuger,leg curls,87.5,10,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Beinstrecker,leg extension,80,12,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Bauchmaschine,Bauchmaschine,12,15,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-06,Bankdrücken,bankdrücken,70,10,,75,ok
2022-07-06,Schrägbankdrücken,schrägbankdrücken,50,8,,76,ok
